name,liquidityRate,variableBorrowRate,stableBorrowRate
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8214533048363589,0.6170205530039727,0.7085235716303739
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002
USD Coin,0.0072806450566264376,0.2809594067572332,0.0
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699
Tether USD,0.0,0.0,0.016742485419953157
Tether USD,0.8214533048363589,0.6170205530039727,0.7085235716303739
